LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
31|Acidum mycophenolicum|Marelim, tabletki dojelitowe, 360 mg|120 tabl.|05909991227319|2017-05-01  - dla kolumny M, 2020-09-01  - dla kolumny N|5 lat - dla kolumny M, 3 lata - dla kolumny N|134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne|206,28|216,59|233,05|185,93|Stan po przeszczepie narządu unaczynionego bądź szpiku|stan po przeszczepie kończyny, rogówki, tkanek lub komórek|ryczałt|50,32
32|Acidum ursodeoxycholicum|Proursan, kaps., 250 mg|90 szt.|05909991203924|2019-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy|80,89|84,93|95,76|77,26|Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby|cholestaza ciężarnych|30%|41,68
33|Acidum ursodeoxycholicum|Ursocam, tabl., 250 mg|100 szt.|05909990414741|2020-09-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy|75,60|79,38|90,91|85,84|Pierwotna żółciowa marskość wątroby w początkowym stadium choroby|cholestaza ciężarnych|30%|30,82
34|Acidum ursodeoxycholicum|Ursocam, tabl., 250 mg|90 szt.|05909991314675|2019-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy|68,04|71,44|82,27|77,26|Pierwotna żółciowa marskość wątroby w początkowym stadium choroby|cholestaza ciężarnych|30%|28,19
35|Acidum ursodeoxycholicum|Ursopol, kaps. twarde, 300 mg|50 szt.|05909990798223|2020-01-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy|39,96|41,96|50,68|50,68|Pierwotna żółciowa marskość wątroby w początkowym stadium choroby|cholestaza ciężarnych|30%|15,20
36|Acidum ursodeoxycholicum|Ursoxyn, kaps. twarde, 250 mg|100 szt.|05909991325794|2019-09-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy|66,96|70,31|81,84|81,84|Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby|cholestaza ciężarnych|30%|24,55
37|Acidum ursodeoxycholicum|Ursoxyn, kaps. twarde, 250 mg|50 szt.|05909991325770|2019-09-01  - dla kolumny M, 2020-11-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy|33,48|35,15|42,92|42,92|Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby|cholestaza ciężarnych|30%|12,88
38|Acidum valproicum|Convulex, kaps. miękkie, 500 mg|100 szt.|05909990023813|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu|34,78|36,52|44,49|44,49|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|3,56
39|Acidum valproicum|Convulex, kaps. miękkie, 500 mg|100 szt.|05909990023813|2022-01-01|3 lata|161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu|34,78|36,52|44,49|44,49|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|0,00
40|Acidum valproicum|Convulex 150, kaps. miękkie, 150 mg|100 szt.|05909990244317|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu|10,43|10,95|14,64|13,35|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|4,49
41|Acidum valproicum|Convulex 150, kaps. miękkie, 150 mg|100 szt.|05909990244317|2022-01-01|3 lata|161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu|10,43|10,95|14,64|13,35|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|1,29
42|Acidum valproicum|Convulex 300, kaps. miękkie, 300 mg|100 szt.|05909990244416|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu|20,94|21,99|27,78|26,69|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|4,29
43|Acidum valproicum|Convulex 300, kaps. miękkie, 300 mg|100 szt.|05909990244416|2022-01-01|3 lata|161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu|20,94|21,99|27,78|26,69|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|1,09
44|Acidum valproicum + Natrii valproas|Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg|30 szt. (blist.)|05909990694327|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|12,26|12,87|16,49|13,60|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|6,09
45|Acidum valproicum + Natrii valproas|Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg|30 szt. (blist.)|05909990694327|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|12,26|12,87|16,49|13,60|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|2,89
46|Acidum valproicum + Natrii valproas|Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg|30 szt.|05909991210328|2019-05-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|15,61|16,39|21,42|21,42|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|3,20
47|Acidum valproicum + Natrii valproas|Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg|30 szt.|05909991210328|2019-05-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|15,61|16,39|21,42|21,42|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|0,00
48|Acidum valproicum + Natrii valproas|Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg|30 szt.|05909991229610|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|15,88|16,67|21,71|21,71|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|3,20
49|Acidum valproicum + Natrii valproas|Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg|30 szt.|05909991229610|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|15,88|16,67|21,71|21,71|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|0,00
50|Acidum valproicum + Natrii valproas|Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg|30 szt. (blist.)|05909990694426|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|16,79|17,63|22,66|22,66|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|3,20
51|Acidum valproicum + Natrii valproas|Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg|30 szt. (blist.)|05909990694426|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|16,79|17,63|22,66|22,66|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|0,00
52|Acidum valproicum + Natrii valproas|Depakine Chronosphere 100, granulat o przedłużonym uwalnianiu, 29,03+66,66 mg|30 sasz.po 303 mg|05909990425693|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|5,02|5,27|6,68|4,53|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|5,35
53|Acidum valproicum + Natrii valproas|Depakine Chronosphere 100, granulat o przedłużonym uwalnianiu, 29,03+66,66 mg|30 sasz.po 303 mg|05909990425693|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|5,02|5,27|6,68|4,53|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|2,15
54|Acidum valproicum + Natrii valproas|Depakine Chronosphere 1000, granulat o przedłużonym uwalnianiu, 290,27+666,60 mg|30 sasz.po 3030 mg|05909990425754|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|42,23|44,34|52,13|45,32|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|10,01
55|Acidum valproicum + Natrii valproas|Depakine Chronosphere 1000, granulat o przedłużonym uwalnianiu, 290,27+666,60 mg|30 sasz.po 3030 mg|05909990425754|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|42,23|44,34|52,13|45,32|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|6,81
56|Acidum valproicum + Natrii valproas|Depakine Chronosphere 250, granulat o przedłużonym uwalnianiu, 72,61+166,76 mg|30 sasz.po 758 mg|05909990425709|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|12,56|13,19|16,33|11,33|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|8,20
57|Acidum valproicum + Natrii valproas|Depakine Chronosphere 250, granulat o przedłużonym uwalnianiu, 72,61+166,76 mg|30 sasz.po 758 mg|05909990425709|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|12,56|13,19|16,33|11,33|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|5,00
58|Acidum valproicum + Natrii valproas|Depakine Chronosphere 500, granulat o przedłużonym uwalnianiu, 145,14+333,30 mg|30 sasz.po 1515 mg|05909990425730|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|21,11|22,17|27,20|22,66|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|7,74
59|Acidum valproicum + Natrii valproas|Depakine Chronosphere 500, granulat o przedłużonym uwalnianiu, 145,14+333,30 mg|30 sasz.po 1515 mg|05909990425730|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|21,11|22,17|27,20|22,66|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|4,54
60|Acidum valproicum + Natrii valproas|Depakine Chronosphere 750, granulat o przedłużonym uwalnianiu, 217,75+500,06 mg|30 sasz.po 2273 mg|05909990425747|2022-01-01  - dla kolumny M, 2020-09-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|31,59|33,17|39,64|33,99|Padaczka|neuralgia lub neuropatia w obrębie twarzy|ryczałt|8,85
61|Acidum valproicum + Natrii valproas|Depakine Chronosphere 750, granulat o przedłużonym uwalnianiu, 217,75+500,06 mg|30 sasz.po 2273 mg|05909990425747|2022-01-01|3 lata|161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu|31,59|33,17|39,64|33,99|Choroby psychiczne lub upośledzenia umysłowe||bezpłatny do limitu|5,65
62|Acidum zoledronicum|Osporil, roztwór do infuzji, 4 mg/100 ml|1 fiol.po 100 ml|05909991228392|2021-05-01|3 lata|146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy|91,80|96,39|109,60|107,33|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|5,47
63|Acidum zoledronicum|Zerlinda, roztwór do infuzji, 4 mg/100 ml|1 worek po 100 ml|05909991103163|2020-09-01|3 lata|146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy|94,82|99,56|112,78|107,33|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|8,65
64|Acidum zoledronicum|Zoledronic acid Actavis, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml|1 fiol.po 5 ml|05909990975730|2021-05-01|3 lata|146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy|83,16|87,32|100,53|100,53|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
65|Acidum zoledronicum|Zoledronic acid Actavis, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml|4 fiol. (5 ml)|05909990975747|2021-07-01|3 lata|146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy|365,04|383,29|405,20|405,20|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
66|Acidum zoledronicum|Zomikos, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml|1 fiol.po 5 ml|05909990948994|2021-07-01|3 lata|146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy|89,64|94,12|107,33|107,33|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
67|Acitretinum|Acitren, kaps. twarde, 10 mg|100 szt.|05909990907755|2019-09-01|3 lata|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|138,24|145,15|160,91|160,91|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
68|Acitretinum|Acitren, kaps. twarde, 10 mg|30 szt.|05909990907731|2019-09-01|3 lata|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|43,20|45,36|54,21|49,12|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|8,29
69|Acitretinum|Acitren, kaps. twarde, 25 mg|100 szt.|05909990907786|2019-09-01|3 lata|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|345,60|362,88|384,45|384,45|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|7,62
70|Acitretinum|Acitren, kaps. twarde, 25 mg|30 szt.|05909990907762|2019-09-01|3 lata|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|103,68|108,86|122,80|122,80|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
71|Acitretinum|Neotigason, kaps., 10 mg|100 szt.|05909990697021|2022-01-01|3 lata|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|138,24|145,15|160,91|160,91|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
72|Acitretinum|Neotigason, kaps., 10 mg|30 szt.|05909990854462|2018-01-01|5 lat|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|43,20|45,36|54,21|49,12|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|8,29
